ID;USERID;SHOPCOUNT;PRODUCTCOUNT;TOTALCOUNT;TIME;IPCOUNT;BOOTH_ID;SUBINDUSTRY;SUBMARKET;SUBMARKET_1;MARKET_NAME;INDUSTRY_NAME
32420503;0436269             ;0;3;3;20140812;3;785975;78;1006;1006;四区市场;日用百货
32420504;Y5-0976             ;0;1;1;20140812;1;810818;148;1008;1008;篁园服装市场;童装
32420505;01A81592            ;1;3;4;20140812;4;750730;11;1001;1001;一区市场;相框
32420506;shop_99154          ;1;37;38;20140812;7;764292;519;1006;1006;四区市场;鞋类
32420507;0215115             ;0;2;2;20140812;2;776275;17;1003;1003;二区市场;五金工具/配件
32420508;0445294             ;0;1;1;20140812;1;794671;131;1006;1006;四区市场;皮带/配件
32420509;01A9289             ;1;6;7;20140812;5;782076;505;1001;1001;一区市场;生产企业直销中心(玩具·花类·饰品及配件·工艺品)
32420510;01A45741            ;1;2;3;20140812;3;749971;7;1001;1001;一区市场;珠宝首饰
32420511;shop_109282         ;1;1;2;20140812;2;772076;109;1004;1004;三区市场;化妆品配件
32420512;0322017             ;1;1;2;20140812;2;774210;107;1004;1004;三区市场;笔墨纸制品
32420513;01A3543             ;0;1;1;20140812;1;754466;6;1001;1001;一区市场;头饰
32420514;0218412             ;0;1;1;20140812;1;759153;22;1003;1003;二区市场;钟表
32420515;0210156             ;0;2;2;20140812;2;755976;24;1003;1003;二区市场;伞具
32420516;03L3-3042           ;2;2;4;20140812;4;770008;515;1004;1004;三区市场;辅料配件
32420517;0435485             ;0;1;1;20140812;1;780088;78;1006;1006;四区市场;日用百货
32420518;01A4764B            ;0;2;2;20140812;2;758914;7;1001;1001;一区市场;珠宝首饰
32420519;0322053A            ;0;1;1;20140812;1;775381;107;1004;1004;三区市场;笔墨纸制品
32420520;0322074             ;0;4;4;20140812;4;771160;107;1004;1004;三区市场;笔墨纸制品
32420521;0450712             ;2;3;5;20140812;5;766904;514;1006;1006;四区市场;服饰
32420522;shop_111847         ;0;1;1;20140812;1;760113;6;1001;1001;一区市场;头饰
32420523;01A6389             ;0;4;4;20140812;4;752749;8;1001;1001;一区市场;喜庆工艺
32420524;0325759             ;0;1;1;20140812;1;783214;102;1004;1004;三区市场;文化体育用品
32420525;01A3747             ;0;4;4;20140812;4;757295;6;1001;1001;一区市场;头饰
32420526;01A38701            ;0;1;1;20140812;1;755190;6;1001;1001;一区市场;头饰
32420527;0325441             ;0;1;1;20140812;1;770435;508;1004;1004;三区市场;户外用品
32420528;0447885A            ;2;58;60;20140812;27;790528;86;1006;1006;四区市场;文胸内衣
32420529;01A5511A            ;0;1;1;20140812;1;757375;7;1001;1001;一区市场;珠宝首饰
32420530;0325629             ;2;4;6;20140812;4;781337;508;1004;1004;三区市场;户外用品
32420531;0217324             ;0;1;1;20140812;1;760740;19;1003;1003;二区市场;小家电
32420532;Y3-0927             ;0;2;2;20140812;1;810656;144;1008;1008;篁园服装市场;女装
32420533;0431752             ;0;1;1;20140812;1;777944;130;1006;1006;四区市场;袜类
32420534;0323897A            ;1;2;3;20140812;3;772855;68;1004;1004;三区市场;办公学习用品
32420535;0323518             ;0;2;2;20140812;2;775963;102;1004;1004;三区市场;文化体育用品
32420536;01A6012B            ;0;3;3;20140812;3;755835;8;1001;1001;一区市场;喜庆工艺
32420537;01A1528             ;0;1;1;20140812;1;750873;115;1001;1001;一区市场;玩具
32420538;01A5551B            ;0;1;1;20140812;1;759995;7;1001;1001;一区市场;珠宝首饰
32420539;0445564             ;0;1;1;20140812;1;795791;131;1006;1006;四区市场;皮带/配件
32420540;0443086B            ;2;14;16;20140812;13;792037;80;1006;1006;四区市场;鞋类
32420541;0321341A            ;0;1;1;20140812;1;777033;107;1004;1004;三区市场;笔墨纸制品
32420542;0440752             ;1;2;3;20140812;3;794043;46;1006;1006;四区市场;花边
32420543;03223071            ;3;20;23;20140812;19;771854;107;1004;1004;三区市场;笔墨纸制品
32420544;shop_107084         ;0;1;1;20140812;1;807375;144;1008;1008;篁园服装市场;女装
32420545;0212282             ;0;2;2;20140812;1;764407;15;1003;1003;二区市场;箱包
32420546;0322527             ;0;1;1;20140812;1;777314;107;1004;1004;三区市场;笔墨纸制品
32420547;Y2-0393B            ;4;32;36;20140812;23;806055;142;1008;1008;篁园服装市场;男装
32420548;0443574A            ;0;1;1;20140812;1;790641;80;1006;1006;四区市场;鞋类
32420549;0214137A            ;0;1;1;20140812;1;770296;17;1003;1003;二区市场;五金工具/配件
32420550;0215262             ;1;1;2;20140812;2;771606;17;1003;1003;二区市场;五金工具/配件
32420551;0210715B            ;0;1;1;20140812;1;766236;15;1003;1003;二区市场;箱包
32420552;Y4-0360A            ;0;3;3;20140812;2;808268;147;1008;1008;篁园服装市场;睡衣
32420553;01A7675B            ;0;2;2;20140812;2;752411;9;1001;1001;一区市场;装饰工艺
32420555;0438351             ;0;2;2;20140812;2;780049;133;1006;1006;四区市场;帽子
32420556;0214937             ;0;2;2;20140812;2;762569;17;1003;1003;二区市场;五金工具/配件
32420557;0212743             ;4;2;6;20140812;5;760934;15;1003;1003;二区市场;箱包
32420558;shop_105926         ;1;1;2;20140812;2;755547;7;1001;1001;一区市场;珠宝首饰
32420559;0435028A            ;0;1;1;20140812;1;788769;78;1006;1006;四区市场;日用百货
32420560;01A5458B            ;0;2;2;20140812;2;757315;7;1001;1001;一区市场;珠宝首饰
32420561;0566138             ;1;1;2;20140812;2;799673;151;1007;1007;五区市场;针纺布类
32420562;01A21852            ;1;2;3;20140812;3;753099;115;1001;1001;一区市场;玩具
32420563;01A3499A1           ;2;4;6;20140812;3;749420;6;1001;1001;一区市场;头饰
32420564;01A8361B            ;1;5;6;20140812;4;753281;11;1001;1001;一区市场;相框
32420565;0213102             ;1;9;10;20140812;8;776604;23;1003;1003;二区市场;锁具
32420566;0436431             ;0;1;1;20140812;1;797255;78;1006;1006;四区市场;日用百货
32420567;Y4-0663A            ;0;1;1;20140812;1;807239;149;1008;1008;篁园服装市场;羊毛衫
32420568;shop_110861         ;0;1;1;20140812;1;812959;6;1001;1001;一区市场;头饰
32420569;01A3646A            ;0;5;5;20140812;4;756386;6;1001;1001;一区市场;头饰
32420570;Y1-0604A            ;0;3;3;20140812;3;807702;143;1008;1008;篁园服装市场;牛仔
32420571;01A5440A            ;0;1;1;20140812;1;759670;7;1001;1001;一区市场;珠宝首饰
32420572;01A1300             ;1;1;2;20140812;1;750616;115;1001;1001;一区市场;玩具
32420573;0444398A            ;1;3;4;20140812;4;794622;80;1006;1006;四区市场;鞋类
32420574;01A1043A            ;0;1;1;20140812;1;756668;1;1001;1001;一区市场;花类
32420575;0325538             ;1;9;10;20140812;7;768026;508;1004;1004;三区市场;户外用品
32420576;Y3-0522A            ;0;1;1;20140812;1;808870;144;1008;1008;篁园服装市场;女装
32420577;0325366             ;0;1;1;20140812;1;769183;68;1004;1004;三区市场;办公学习用品
32420578;0443711             ;0;2;2;20140812;2;792730;80;1006;1006;四区市场;鞋类
32420579;0447070A            ;0;1;1;20140812;1;798462;88;1006;1006;四区市场;围巾
32420580;0215463             ;0;6;6;20140812;6;768100;17;1003;1003;二区市场;五金工具/配件
32420581;0440295A            ;0;1;1;20140812;1;793748;74;1006;1006;四区市场;线带
32420582;0210821             ;0;2;2;20140812;2;765077;15;1003;1003;二区市场;箱包
32420583;0437755             ;0;2;2;20140812;2;797872;134;1006;1006;四区市场;手套
32420584;Y5-0199B            ;1;51;52;20140812;33;809052;148;1008;1008;篁园服装市场;童装
32420585;Y5-0293B            ;0;2;2;20140812;2;805369;148;1008;1008;篁园服装市场;童装
32420586;0441058             ;0;2;2;20140812;2;792941;74;1006;1006;四区市场;线带
32420587;0449409A            ;1;1;2;20140812;2;797466;86;1006;1006;四区市场;文胸内衣
32420588;0322874             ;1;30;31;20140812;25;776599;84;1004;1004;三区市场;眼镜
32420589;0435168             ;0;7;7;20140812;6;783043;78;1006;1006;四区市场;日用百货
32420590;01A2822A            ;0;1;1;20140812;1;757900;115;1001;1001;一区市场;玩具
32420591;01AA974             ;0;3;3;20140812;3;749077;1;1001;1001;一区市场;花类
32420592;shop_109004         ;0;2;2;20140812;2;779065;78;1006;1006;四区市场;日用百货
32420593;0444293A            ;1;2;3;20140812;2;785062;80;1006;1006;四区市场;鞋类
32420594;shop_112829         ;0;1;1;20140812;1;100007670;600;1007;1007;五区市场;网商服务
32420595;01A2458B            ;4;3;7;20140812;6;757721;115;1001;1001;一区市场;玩具
32420596;0443226             ;1;1;2;20140812;2;794988;80;1006;1006;四区市场;鞋类
